Country Code,Year,GDPperCapita
VNM,1991,140.63100446173402
VNM,1992,141.383685201224
VNM,1993,185.18712202690799
VNM,1994,224.637094521393
VNM,1995,281.133604499166
VNM,1996,329.001189952993
VNM,1997,352.93443979701004
VNM,1998,352.783068017119
VNM,1999,367.156883682362
VNM,2000,394.583136574358
VNM,2001,409.497733926552
VNM,2002,434.810292146332
VNM,2003,485.45090806894996
VNM,2004,551.903505134912
VNM,2005,693.18984250035
VNM,2006,790.5925163849209
VNM,2007,913.3123316017551
VNM,2008,1158.10162735417
VNM,2009,1225.84500948487
VNM,2010,1684.01177184608
VNM,2011,1953.5571496874697
VNM,2012,2190.2324398772
VNM,2013,2367.49933068934
VNM,2014,2558.7787583495897
VNM,2015,2595.23484372958
VNM,2016,2760.7171011171504
VNM,2017,2992.07153198845
VNM,2018,3267.22506911927
VNM,2019,3491.0914099066304
VNM,2020,3586.3471762476292
VNM,2021,3756.48890080884
VNM,2022,4163.51429874522
