Year,Total number of registered motorcycles,Total number of registered cars,Population,Urbanization Rate,Total number of registered motorcycles - ASEAN
1991,1522184,256898,67242400,19.67,1522184
1992,1704225,270036,68450100,19.85,1704225
1993,2427163,292899,69644500,20.05,2427163
1994,3052847,307708,70824500,20.37,3052847
1995,3578156,340799,71995500,20.75,3578156
1996,4208247,386976,73156400,21.08,4208247
1997,4827218,417768,74306400,22.66,4827218
1998,5200000,443000,75456300,23.15,5200000
1999,5600000,456000,76596700,23.61,5600000
2000,6478000,486000,77785500,24.18,6478000
2001,8395835,532681,78685800,24.74,8395835
2002,10988543,632825,79727400,25.11,10988543
2003,11379000,675000,80467400,25.76,11379000
2004,13735000,774000,81436400,26.53,13735000
2005,12042955,623000,82392100,27.1,12042955
2006,13479123,631000,83311200,27.66,13479123
2007,15701017,900000,84218500,28.2,15701017
2008,18469932,1308600,85118700,28.99,25273000
2009,19737537,1410000,86025000,29.74,28195000
2010,21476127,1535700,86932500,30.5,31155000
2011,24198095,1680000,87860400,31.56,33774000
2012,26585754,1840000,88809300,31.84,36894000
2013,29144925,1950000,89759500,32.19,38643000
2014,31759946,2060000,90728900,32.91,41197000
2015,44128000,2170000,91713300,33.81,44128000
2016,47131000,2077400,92695100,34.51,47131000
2017,54063000,2160600,93671600,35.21,54063000
2018,58169430,2242100,94666000,35.92,58169430
2019,61728250,2322000,96484000,36.63,61728250
2020,72061320,,97582690,37.34,72061320
2021,,4512000,98506190,38.05,
2022,,,99461710,38.77,
