Pollutant,Vehicle_Type,g per km per vehicle,km_per_day,number_registered,Pollutant_total,Pollutant_percent
CO,Motorcycle,12.59,19.0,7266000,1738099860.0,0.9542918831971545
NOx,Motorcycle,0.19,19.0,7266000,26230260.0,0.12578759693452748
SO2,Motorcycle,0.01,19.0,7266000,1380540.0,0.09314077835180813
CH4,Motorcycle,0.12,19.0,7266000,16566479.999999998,0.9664911442187802
PM2.5,Motorcycle,0.02,19.0,7266000,2761080.0,0.20434045481556817
PM10,Motorcycle,0.09,19.0,7266000,12424860.0,0.2542986066164011
NMVOC,Motorcycle,2.34,19.0,7266000,323046359.99999994,0.21435958724631105
BC,Motorcycle,0.01,19.0,7266000,1380540.0,1.0
OC,Motorcycle,0.02,19.0,7266000,2761080.0,0.9674368088936453
NH3,Motorcycle,0.0,19.0,7266000,0.0,0.0
N2O,Motorcycle,0.0,19.0,7266000,0.0,0.0
CO2,Motorcycle,221.0,19.0,7266000,30509934000.0,0.6274247879789513
CO,Car,2.21,33.4,595349,43945091.085999995,0.024127752780400902
NOx,Car,1.05,33.4,595349,20878889.43,0.10012502079893246
SO2,Car,0.17,33.4,595349,3380391.622,0.22806460284164976
CH4,Car,0.0,33.4,595349,0.0,0.0
PM2.5,Car,0.03,33.4,595349,596539.698,0.04414837426110858
PM10,Car,0.3,33.4,595349,5965396.9799999995,0.12209329842973579
NMVOC,Car,15.02,33.4,595349,298667542.13199997,0.19818285850763256
BC,Car,0.0,33.4,595349,0.0,0.0
OC,Car,0.0,33.4,595349,0.0,0.0
NH3,Car,0.1,33.4,595349,1988465.66,0.8574897683985574
N2O,Car,0.0,33.4,595349,0.0,0.0
CO2,Car,530.0,33.4,595349,10538867998.0,0.2167276736548596
CO,Bus,6.91,195.6,4283,5788885.668,0.00317834822547465
NOx,Bus,16.95,195.6,4283,14199943.859999998,0.06809603925979377
SO2,Bus,0.64,195.6,4283,536163.072,0.0361732697709422
CH4,Bus,0.08,195.6,4283,67020.384,0.003909980129643838
PM2.5,Bus,0.9,195.6,4283,753979.32,0.05580007720541701
PM10,Bus,2.08,195.6,4283,1742529.9840000002,0.03566422051584483
NMVOC,Bus,89.92,195.6,4283,75330911.616,0.04998633360516459
BC,Bus,0.0,195.6,4283,0.0,0.0
OC,Bus,0.01,195.6,4283,8377.548,0.0029353543915690023
NH3,Bus,0.0,195.6,4283,0.0,0.0
N2O,Bus,0.0,195.6,4283,0.0,0.0
CO2,Bus,2050.0,195.6,4283,1717397340.0,0.035317600553482514
CO,Truck,3.1,31.4,269294,26213077.96,0.014392111815049697
NOx,Truck,17.0,31.4,269294,143749137.2,0.6893510979227688
SO2,Truck,1.06,31.4,269294,8963181.496,0.6047182269589899
CH4,Truck,0.06,31.4,269294,507349.89599999995,0.029598875651575905
PM2.5,Truck,1.1,31.4,269294,9301414.76,0.6883738690971065
PM10,Truck,3.28,31.4,269294,27735127.648,0.5676526186383124
NMVOC,Truck,89.92,31.4,269294,760348377.472,0.5045342852905083
BC,Truck,0.0,31.4,269294,0.0,0.0
OC,Truck,0.01,31.4,269294,84558.316,0.02962783671478569
NH3,Truck,0.0,31.4,269294,0.0,0.0
N2O,Truck,0.0,31.4,269294,0.0,0.0
CO2,Truck,486.0,31.4,269294,4109534157.6,0.08451095297434724
CO,Taxi,2.21,124.0,26651,7303440.040000001,0.004009903981920292
NOx,Taxi,1.05,124.0,26651,3469960.2000000007,0.016640245083977528
SO2,Taxi,0.17,124.0,26651,561803.0800000001,0.03790312207660998
CH4,Taxi,0.0,124.0,26651,0.0,0.0
PM2.5,Taxi,0.03,124.0,26651,99141.71999999999,0.0073372246207997266
PM10,Taxi,0.3,124.0,26651,991417.1999999998,0.020291255799705896
NMVOC,Taxi,15.02,124.0,26651,49636954.480000004,0.032936935350383556
BC,Taxi,0.0,124.0,26651,0.0,0.0
OC,Taxi,0.0,124.0,26651,0.0,0.0
NH3,Taxi,0.1,124.0,26651,330472.4,0.1425102316014426
N2O,Taxi,0.0,124.0,26651,0.0,0.0
CO2,Taxi,530.0,124.0,26651,1751503720.0,0.03601898483835935
